Row,Ligand,Additive
1,Xphos,0
2,Xphos,2
3,Xphos,4
4,Xphos,6
5,t-BuXphos,0
6,t-BuXphos,2
7,t-BuXphos,4
8,t-BuXphos,6
9,t-BuBrettPhos,0
10,t-BuBrettPhos,2
11,t-BuBrettPhos,4
12,t-BuBrettPhos,6
13,AdBrettPhos,0
14,AdBrettPhos,2
15,AdBrettPhos,4
16,AdBrettPhos,6
17,Xphos,1
18,Xphos,3
19,Xphos,5
20,Xphos,7
21,t-BuXphos,1
22,t-BuXphos,3
23,t-BuXphos,5
24,t-BuXphos,7
25,t-BuBrettPhos,1
26,t-BuBrettPhos,3
27,t-BuBrettPhos,5
28,t-BuBrettPhos,7
29,AdBrettPhos,1
30,AdBrettPhos,3
31,AdBrettPhos,5
32,AdBrettPhos,7
1,Xphos,8
2,Xphos,10
3,Xphos,12
4,Xphos,14
5,t-BuXphos,8
6,t-BuXphos,10
7,t-BuXphos,12
8,t-BuXphos,14
9,t-BuBrettPhos,8
10,t-BuBrettPhos,10
11,t-BuBrettPhos,12
12,t-BuBrettPhos,14
13,AdBrettPhos,8
14,AdBrettPhos,10
15,AdBrettPhos,12
16,AdBrettPhos,14
17,Xphos,9
18,Xphos,11
19,Xphos,13
20,Xphos,15
21,t-BuXphos,9
22,t-BuXphos,11
23,t-BuXphos,13
24,t-BuXphos,15
25,t-BuBrettPhos,9
26,t-BuBrettPhos,11
27,t-BuBrettPhos,13
28,t-BuBrettPhos,15
29,AdBrettPhos,9
30,AdBrettPhos,11
31,AdBrettPhos,13
32,AdBrettPhos,15
1,Xphos,23
2,Xphos,17
3,Xphos,19
4,Xphos,21
5,t-BuXphos,23
6,t-BuXphos,17
7,t-BuXphos,19
8,t-BuXphos,21
9,t-BuBrettPhos,23
10,t-BuBrettPhos,17
11,t-BuBrettPhos,19
12,t-BuBrettPhos,21
13,AdBrettPhos,23
14,AdBrettPhos,17
15,AdBrettPhos,19
16,AdBrettPhos,21
17,Xphos,16
18,Xphos,18
19,Xphos,20
20,Xphos,22
21,t-BuXphos,16
22,t-BuXphos,18
23,t-BuXphos,20
24,t-BuXphos,22
25,t-BuBrettPhos,16
26,t-BuBrettPhos,18
27,t-BuBrettPhos,20
28,t-BuBrettPhos,22
29,AdBrettPhos,16
30,AdBrettPhos,18
31,AdBrettPhos,20
32,AdBrettPhos,22
